gaa	-	가어	Ga
gay	-	가요어	Gayo
lug	lg	간다어	Ganda
glg	gl	갈리시아어; 갈레고어	galicien
gem	-	게르만어파 (기타)	Germanic languages
gez	-	게에즈어	Geez
gla	gd	게일어; 스코틀랜드 게일어	Gaelic; Scottish Gaelic
got	-	고트어	Gothic
gon	-	곤드어	Gondi
grn	gn	과라니어	Guarani
guj	gu	구자라트어	Gujarati
grb	-	그레보어	Grebo
grc	-	그리스어 (고대) (1453년 이전)	Ancient Greek
gre	el	그리스어 (현대) (1453년 이후)	Modern Greek
ell	el	그리스어 (현대) (1453년 이후)	Modern Greek
kal	kl	그린란드어; 칼랄리수트	Greenlandic; Kalaallisut
gba	-	그바야어	Gbaya
gwi	-	그위친어	Gwich'in
mis	-	기타 언어	Miscellaneous languages
nav	nv	나바호어	Navajo; Navaho
nah	-	나와어; 나와틀어	Nahuatl
nau	na	나우루어	Nauru
ssa	-	나일사하라어족 (기타)	Nilo-Saharan languages
nap	-	나폴리어	Neopolitan
sai	-	남아메리카 인디언 제어 (기타)	South American Indian languages
dut	nl	네덜란드어; 플라망어	Dutch; Flemish
nld	nl	네덜란드어; 플라망어	Dutch; Flemish
dum	-	네덜란드어 (중세) (1050년-1350년경)	Middle Dutch
new	-	네와르어; 네팔바사	Newari; Nepal
nwc	-	네와르어 (고전)	Classical Newari; Old Newari
nep	ne	네팔어	Nepali
nog	-	노가이어	Nogai
non	-	노르드어 (고대)	Old Norse
nor	no	노르웨이어	Norwegian
nno	nn	노르웨이어 (뉘노르스크); 신노르웨이어	Norwegian Nynorsk
nob	nb	노르웨이어 (보크몰); 덴마크-노르웨이어	Norwegian Bokmål
nub	-	누비아어군	Nubian languages
nya	ny	니안자어; 체와어; 치체와	Chichewa; Chewa; Nyanja
nym	-	니암웨지어	Nyamwezi
nyo	-	니오로어	Nyoro
niu	-	니우에어	Niuean
nic	-	니제르코르도판어족 (기타)	Niger-Kordofanian languages
dar	-	다르과어	Dargwa
day	-	다야크어	Dayak
mul	-	다중 언어	Multiple languages
dak	-	다코타어	Dakota
dan	da	덴마크어	Danish
del	-	델라웨어어	Delaware
doi	-	도그라어	Dogri
dgr	-	도그리브어	Dogrib
ger	de	독일어	German
deu	de	독일어	German
goh	-	독일어 (고대 고지) (750년-1050년경)	Old High German
gmh	-	독일어 (중세 고지) (1050년-1500년경)	Middle High German
dua	-	두알라어	Duala
dyu	-	듈라어	Dyula
dra	-	드라비다어족 (기타)	Dravidian languages
div	dv	디베히어	Divehi language
din	-	딩카어	Dinka language
lad	-	라디노어; 유대스페인어	Ladino
rar	-	라로통가어	Rarotongan
lao	lo	라오어	Lao
raj	-	라자스탄어	Rajasthani
lav	lv	라트비아어	Latvian
lat	la	라틴어	Latin
rap	-	라파누이어	Rapanui
lah	-	란다어	Lahnda
lam	-	람바어	Lamba
rus	ru	러시아어	Russian
lez	-	레즈긴어	Lezghian
roh	rm	로만슈어; 레토로망어; 라이티아 로망스어	Rhaeto-Romance
roa	-	로망스어군 (기타)	Romance languages
jbo	-	로지반	Lojban
loz	-	로지어	Lozi
rom	-	롬어; 로마니어; 집시어	Romany
rum	ro	루마니아어	Romanian
ron	ro	루마니아어	Romanian
lua	-	루바룰루아어	Luba-Lulua
lub	lu	루바카탕가어	Luba-Katanga
lus	-	루샤이어	Lushai
rue	-	루신어	Rusyn
luo	-	루오어 (케냐와 탄자니아)	Luo (Kenya and Tanzania)
lui	-	루이세뇨어	Luiseno
ltz	lb	룩셈부르크어	Luxembourgish; Letzeburgesch
lun	-	룬다어	Lunda
run	rn	룬디어	Rundi
smj	-	룰레 사미어	Lule Sami
kin	rw	르완다어; 키냐르완다어	Kinyarwanda
lit	lt	리투아니아어	Lithuanian
lim	li	림뷔르흐어	Limburgan; Limburger; Limburgish
lin	ln	링갈라어	Lingala
mag	-	마가드어; 마가히어	Magahi
mno	-	마노보어군	Manobo languages
mni	-	마니푸르어; 마니푸리어	Manipuri
mlg	mg	마다가스카르어	Malagasy
mad	-	마두라어	Madurese
mar	mr	마라티어	Marathi
mwr	-	마르와르어	Marwari
chm	-	마리어	Mari
mas	-	마사이어	Masai
mah	mh	마셜어	Marshallese
myn	-	마야어족	Mayan languages
mao	mi	마오리어	Maori
mri	mi	마오리어	Maori
mai	-	마이틸라어; 마이틸리어	Maithili
mak	-	마카사르어	Makasar
mac	mk	마케도니아어	Macedonian
mkd	mk	마케도니아어	Macedonian
mdr	-	만다르어	Mandar
man	-	만데어; 만딩고어	Mandingo
mnc	-	만주어	Manchu
mal	ml	말라얄람어	Malayalam
may	ms	말레이어	Malay
msa	ms	말레이어	Malay
glv	gv	맨어; 맹크스어	Manx
men	-	멘데어	Mende
mos	-	모시어	Mossi
mdf	-	모크샤어	Moksha
moh	-	모호크어	Mohawk
mkh	-	몬크메르어파 (기타)	Mon-Khmer languages
mol	mo	몰도바어	Moldavian; Moldovan
mlt	mt	몰타어	Maltese
lol	-	몽고어	Mongo
mon	mn	몽골어	Mongolian
hmn	-	몽어	Hmong
mus	-	무스코지어; 크리크어	Creek
mun	-	문다어파	Munda languages
min	-	미낭카바우어	Minangkabau
mwl	-	미란데어	Mirandese
mic	-	미크맥어	Mi'kmaq; Micmac
und	-	미확인 언어	Undetermined
bai	-	바밀레케어계	Bamileke languages
bas	-	바사어	Basa
bak	ba	바슈키르어	Bashkir
baq	eu	바스크어	Basque
eus	eu	바스크어	Basque
vai	-	바이어	Vai
bar	-	바바리아어	Bavarian
bad	-	반다어	Banda
bnt	-	반투어군 (기타)	Bantu languages
bal	-	발루치어	Baluchi
ban	-	발리어	Balinese
bat	-	발트어파 (기타)	Baltic languages
bam	bm	밤바라어	Bambara
bur	my	버마어	Burmese
mya	my	버마어	Burmese
ber	-	베르베르어파 (기타)	Berber languages
bej	-	베자어	Beja
vie	vi	베트남어	Vietnamese
ven	ve	벤다어	Venda
bel	be	벨라루스어	Belarusian
bem	-	벰바어	Bemba
ben	bn	벵골어	Bengali
bos	bs	보스니아어	Bosnian
bho	-	보지푸르어; 보지푸리어	Bhojpuri
vot	-	보트어	Votic
vol	vo	볼라퓌크	Volapük
bug	-	부기어	Buginese
bua	-	부리아트어	Buriat
nai	-	북아메리카 인디언 제어	North American Indian languages
bul	bg	불가리아어	Bulgarian
bra	-	브라지어	Braj
bre	br	브르타뉴어	Breton
bla	-	블랙풋어; 식시카어	Siksika
byn	-	블린어	Blin; Bilin
bin	-	비니어	Bini
bis	bi	비슐라마어	Bislama
bik	-	비콜어	Bikol
bih	bh	비하르어	Bihari
srd	sc	사르데냐어	Sardinian
sam	-	사마리아 아람어	Samaritan Aramaic
smo	sm	사모아어	Samoan
sma	-	사미어 (남)	Southern Sami
smj	-	사미어 (룰레)	Lule Sami
sme	se	사미어 (북)	Northern Sami
sms	-	사미어 (스콜트)	Skolt Sami
smn	-	사미어 (이나리)	Inari Sami
smi	-	사미어계 (기타)	langues sami
sas	-	사사크어	Sasak
